NO,Artist,Title,Series / Notes,Year,QTY,Technique,Size, Price (USD) ,Availability / Set,Description
17,,Koh Rong,,2025,1,Acrylic on canvas,50x60," $ 1,400.00 ",,"Koh Rong is a quiet, calming place. It has the rustic charm of a beach town, removed from the busyness of modern city life. Yet parts of the beach town have evolved in other ways. This piece evokes the spirit of the community that flows through Koh Rong, while the shapes suggest spontaneity, memories, and the liberating energy of travelers and their celebrations. This painting explores the balance between the calm of the coastal beach and the liberating energy of travelers, carefully navigating the edge before it tips into the overwhelm of holiday exuberance."
18,,Koh Rong EP i,,2025,1,Acrylic on canvas,30.5x40.6, $ 210.00 ,,"The left over paint from Koh Rong went into this continuation of flow, free spirit and spontaneity."
19,,Koh Rong EP ii,,2025,1,Acrylic on panel,30 diameter, $ 190.00 ,,"The left over paint from Koh Rong went into this continuation of flow, free spirit and spontaneity."
20,,Battambang,,2026,1,Mixed Media on canvas,," $ 1,500.00 ",,"The excess paint from the palette found a new purpose in this piece, maintaining the layers of textures to reflect a familiar look of weathered liveliness and rich vibrancy."
21,,Battambang EP ,,2026,1,Acrylic on canvas,, $ 120.00 ,,Light and dark can be seen in this piece where paint has been repurposed with the similar goal of blurring dusk into dawn maintaining high energy and vibrancy.
22,,Russian Market ii,,2026,1,Acrylic on canvas,," $ 1,500.00 ",,"This rendition of the Russian Market scene captures the energy and rhythm that takes place below the vibrant roof tops. This piece emphasizes movement, liveliness and the flow of daily life in Cambodia. The translucent frame and the textured, stylized imagery allows the scene to pulse with activity and vibrancy,"
23,,Russian Market EP ii,,2026,1,Acrylic on canvas,, $ 190.00 ,,"The excess paint from the palette found a new purpose in this piece, maintaining the layers of textures to reflect a familiar look of weathered liveliness and rich vibrancy."
24,,Phnom Penh,,2026,1,Mixed Media on Canvas,," $ 2,800.00 ",,"This piece explores the coexistence of tradition and modern life through moments of visual and symbolic tension. The honor of a monk, yet absorbed by a phone; a traditional building against a modern skyscraper. The use of saffron orange, the color of a monk’s robe, symbolizing detachment from material desire, highlights how these values can feel at odds within a modern world."
,,,,,,,,,,
,,,,,,,,,,
,Sold Artwork:,Mar-18-26,$190.00,Square Canvas,,,,,,
